type_habits,price,adress,url_image,type_chaussure,type_chaussures,url_image_pure,web_scraper_start_url,categorie_exacte,prix_num
,7 000,"Dakar, Sénégal",https://images.coinafrique.com/2740383_uploaded_image1_1604582418.jpg,,Chaussures enfant,https://images.coinafrique.com/2740383_uploaded_image1_1604582418.jpg,https://sn.coinafrique.com/categorie/chaussures-enfants?page=5,chaussures-enfants,7000.0
,7 000,"Dakar, Sénégal",https://images.coinafrique.com/2740384_uploaded_image1_1604582455.jpg,,Chaussures enfant,https://images.coinafrique.com/2740384_uploaded_image1_1604582455.jpg,https://sn.coinafrique.com/categorie/chaussures-enfants?page=5,chaussures-enfants,7000.0
,15 000,"Mermoz-Sacré Coeur, Dakar, Sénégal",https://images.coinafrique.com/2744527_uploaded_image1_1604704184.jpg,,Chaussures fille,https://images.coinafrique.com/2744527_uploaded_image1_1604704184.jpg,https://sn.coinafrique.com/categorie/chaussures-enfants?page=5,chaussures-enfants,15000.0
,15 000,"Hann Bel-Air, Hann / Bel Air (Dakar), Sénégal",https://images.coinafrique.com/2747212_uploaded_image1_1604838947.jpg,,Chaussures enfant,https://images.coinafrique.com/2747212_uploaded_image1_1604838947.jpg,https://sn.coinafrique.com/categorie/chaussures-enfants?page=5,chaussures-enfants,15000.0
,10 000,"Patte d'oie, Dakar, Sénégal",https://images.coinafrique.com/2749342_uploaded_image1_1604925569.jpg,,Chaussures enfant,https://images.coinafrique.com/2749342_uploaded_image1_1604925569.jpg,https://sn.coinafrique.com/categorie/chaussures-enfants?page=5,chaussures-enfants,10000.0
,15 000,"Kolda, Sénégal",https://images.coinafrique.com/2749776_uploaded_image1_1604935997.jpg,,Chaussures enfant,https://images.coinafrique.com/2749776_uploaded_image1_1604935997.jpg,https://sn.coinafrique.com/categorie/chaussures-enfants?page=5,chaussures-enfants,15000.0
,7 500,"Hann Bel-Air, Dakar, Sénégal",https://images.coinafrique.com/2752111_uploaded_image1_1605018817.jpg,,Chaussures enfant,https://images.coinafrique.com/2752111_uploaded_image1_1605018817.jpg,https://sn.coinafrique.com/categorie/chaussures-enfants?page=5,chaussures-enfants,7500.0
,3 000,"Hann Bel-Air, Dakar, Sénégal",https://images.coinafrique.com/2752129_uploaded_image1_1605019198.jpg,,Chaussures d'été enfants,https://images.coinafrique.com/2752129_uploaded_image1_1605019198.jpg,https://sn.coinafrique.com/categorie/chaussures-enfants?page=5,chaussures-enfants,3000.0
,2 500,"Hann Bel-Air, Dakar, Sénégal",https://images.coinafrique.com/2752137_uploaded_image1_1605019378.jpg,,Chaussures enfant,https://images.coinafrique.com/2752137_uploaded_image1_1605019378.jpg,https://sn.coinafrique.com/categorie/chaussures-enfants?page=5,chaussures-enfants,2500.0
,2 000,"Hann Bel-Air, Dakar, Sénégal",https://images.coinafrique.com/2752149_uploaded_image1_1605019568.jpg,,Chaussures de sport enfants,https://images.coinafrique.com/2752149_uploaded_image1_1605019568.jpg,https://sn.coinafrique.com/categorie/chaussures-enfants?page=5,chaussures-enfants,2000.0
,2 500,"Dieuppeul-Derklé, Dakar, Sénégal",https://images.coinafrique.com/2762753_uploaded_image1_1605397699.jpg,,Claquettes enfant,https://images.coinafrique.com/2762753_uploaded_image1_1605397699.jpg,https://sn.coinafrique.com/categorie/chaussures-enfants?page=5,chaussures-enfants,2500.0
,10 000,"Mermoz-Sacré Coeur, Dakar, Sénégal",https://images.coinafrique.com/2765779_uploaded_image1_1605531902.jpg,,Chaussures  enfants,https://images.coinafrique.com/2765779_uploaded_image1_1605531902.jpg,https://sn.coinafrique.com/categorie/chaussures-enfants?page=5,chaussures-enfants,10000.0
,15 000,"Ziguinchor, Sénégal",https://images.coinafrique.com/2772383_uploaded_image1_1605772057.jpg,,Chaussures enfants,https://images.coinafrique.com/2772383_uploaded_image1_1605772057.jpg,https://sn.coinafrique.com/categorie/chaussures-enfants?page=5,chaussures-enfants,15000.0
,13 000,"Ziguinchor, Sénégal",https://images.coinafrique.com/2772389_uploaded_image1_1605772309.jpg,,Chaussures enfant,https://images.coinafrique.com/2772389_uploaded_image1_1605772309.jpg,https://sn.coinafrique.com/categorie/chaussures-enfants?page=5,chaussures-enfants,13000.0
,22 500,"Dakar, Sénégal",https://images.coinafrique.com/2789511_uploaded_image1_1606408266.jpg,,Baskets Adidas,https://images.coinafrique.com/2789511_uploaded_image1_1606408266.jpg,https://sn.coinafrique.com/categorie/chaussures-enfants?page=5,chaussures-enfants,22500.0
,6 000,"Guediawaye, Dakar, Sénégal",https://images.coinafrique.com/2795343_uploaded_image1_1606666445.jpg,,Claquettes enfants,https://images.coinafrique.com/2795343_uploaded_image1_1606666445.jpg,https://sn.coinafrique.com/categorie/chaussures-enfants?page=5,chaussures-enfants,6000.0
,3 000,"Grand Dakar, Dakar, Sénégal",https://images.coinafrique.com/2795704_uploaded_image1_1606681411.jpg,,Chaussures garçons,https://images.coinafrique.com/2795704_uploaded_image1_1606681411.jpg,https://sn.coinafrique.com/categorie/chaussures-enfants?page=5,chaussures-enfants,3000.0
