type_chaussure,price,adress,url_image
Baskets Adidas superstar,25 000,"Dakar, Sénégal",https://images.coinafrique.com/5587688_uploaded_image1_1761224531.jpg
Sandales homme,10 000,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/5595866_uploaded_image1_1761763043.jpg
Sandales en cuir,8 000,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/5595893_uploaded_image1_1761763941.jpg
Baskets New Balance,25 000,"Fass, Dakar, Sénégal",https://images.coinafrique.com/5557732_uploaded_image1_1759538261.jpg
Baskets All Star,15 000,"Dakar, Sénégal",https://images.coinafrique.com/5599179_uploaded_image1_1761936293.jpg
Bottes homme,28 000,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/5600232_uploaded_image1_1762007958.jpg
Chaussures homme,30 000,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/5600233_uploaded_image1_1762008119.jpg
Chaussures homme,20 000,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/5600236_uploaded_image1_1762008222.jpg
Chaussures homme,30 000,"Dakar, Sénégal",https://images.coinafrique.com/5600240_uploaded_image1_1762008540.jpg
Chaussures bouts,25 000,"Dakar, Sénégal",https://images.coinafrique.com/5600244_uploaded_image1_1762008703.jpg
Mocassins homme,20 000,"Dakar, Sénégal",https://images.coinafrique.com/5600246_uploaded_image1_1762008803.jpg
Chaussures homme,20 000,"Dakar, Sénégal",https://images.coinafrique.com/5600252_uploaded_image1_1762008921.jpg
Baskets Adidas,25 000,"Dakar, Sénégal",https://images.coinafrique.com/5603000_uploaded_image1_1762171793.jpg
Chaussures hommes,15 000,"Diamalaye 1, Dakar, Sénégal",https://images.coinafrique.com/5603314_uploaded_image1_1762181979.jpg
Baskets New Balance,16 900,"Dakar, Sénégal",https://images.coinafrique.com/5604075_uploaded_image1_1762212336.jpg
Baskets TN,16 900,"Dakar, Sénégal",https://images.coinafrique.com/5604077_uploaded_image1_1762212426.jpg
Baskets New Balance,16 900,"Dakar, Sénégal",https://images.coinafrique.com/5604084_uploaded_image1_1762212669.jpg
Sandales Alexandre MC Queen,5 000,"Rufisque, Sénégal",https://images.coinafrique.com/5607540_uploaded_image1_1762380090.jpg
Chaussures  homme,1 000,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/5608086_uploaded_image1_1762416663.jpg
Chaussures  homme,8 000,"Dakar, Sénégal",https://images.coinafrique.com/5608405_uploaded_image1_1762426274.jpg
Chaussures homme,13 500,"Guediawaye, Dakar, Sénégal",https://images.coinafrique.com/5608889_uploaded_image1_1762441070.jpg
Chaussures homme,25 000,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/5609229_uploaded_image1_1762455773.jpg
Chaussures hommes,25 000,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/5609232_uploaded_image1_1762455930.jpg
Chaussures  homme,6 000,"Dakar, Sénégal",https://images.coinafrique.com/5610109_uploaded_image1_1762509011.jpg
Sneakers homme,15 000,"Almadies, Dakar, Sénégal",https://images.coinafrique.com/5610449_uploaded_image1_1762521706.jpg
Chaussures en cuir,16 000,"Almadies, Dakar, Sénégal",https://images.coinafrique.com/5610456_uploaded_image1_1762521928.jpg
Sandale Orthopédique Birkenstock,29 500,"Mermoz-Sacré Coeur, Dakar, Sénégal",https://images.coinafrique.com/5569336_uploaded_image1_1760194310.jpg
Baskets Nike,25 000,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/5613411_uploaded_image1_1762726719.jpg
Babouches  homme,10 000,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/5616009_uploaded_image1_1762860359.jpg
Babouches  homme,10 000,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/5616251_uploaded_image1_1762866056.jpg
Balenciaga,25 000,"Parcelle Assainies, Dakar, Sénégal",https://images.coinafrique.com/5618425_uploaded_image1_1762956121.jpg
Babouches  homme,10 000,"Point E, Dakar, Sénégal",https://images.coinafrique.com/5618698_uploaded_image1_1762962167.jpg
Babouches  homme,18 000,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/5618775_uploaded_image1_1762964709.jpg
