type_chaussures,price,adress,url_image
Chaussure enfant,Prix sur demande,"Dakar, Sénégal",https://images.coinafrique.com/2972750_uploaded_image1_1614348026.jpg
Mocassin enfants,8 000,"Dakar, Sénégal",https://images.coinafrique.com/2998854_uploaded_image1_1615573131.jpg
Chaussures enfant,Prix sur demande,"Dakar, Sénégal",https://images.coinafrique.com/3000024_uploaded_image1_1615644889.jpg
Chaussures enfant,8 500,"Dakar, Sénégal",https://images.coinafrique.com/3004980_uploaded_image1_1615909281.jpg
Chaussures enfant,Prix sur demande,"Dakar, Sénégal",https://images.coinafrique.com/3006541_uploaded_image1_1615983073.jpg
Chaussures enfant,Prix sur demande,"Medina, Dakar, Sénégal",https://images.coinafrique.com/3007072_uploaded_image1_1615998986.jpg
Chaussures enfant,Prix sur demande,"Dakar, Sénégal",https://images.coinafrique.com/3010551_uploaded_image1_1616171723.jpg
Chaussures enfant friperie,5 000,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/3012388_uploaded_image1_1616265482.jpg
Baskets Jordan enfants,Prix sur demande,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/3015628_uploaded_image1_1616441305.jpg
Baskets Nike enfants,Prix sur demande,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/3017342_uploaded_image1_1616522840.jpg
Baskets enfants,Prix sur demande,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/3017343_uploaded_image1_1616522893.jpg
Baskets enfants,Prix sur demande,"Dakar, Sénégal",https://images.coinafrique.com/3017496_uploaded_image1_1616529866.jpg
Chaussures enfant,8 500,"Dakar, Sénégal",https://images.coinafrique.com/3019231_uploaded_image1_1616610393.jpg
Chaussures enfants,Prix sur demande,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/3021291_uploaded_image1_1616699088.jpg
Chaussures enfants,Prix sur demande,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/3021292_uploaded_image1_1616699181.jpg
Chaussures bébé,5 000,"HLM, Dakar, Sénégal",https://images.coinafrique.com/3024046_uploaded_image1_1616850690.jpg
