type_habits,price,adress,url_image
T-shirt coton,4 000,"Dakar, Sénégal",https://images.coinafrique.com/5362523_uploaded_image1_1749164333.jpg
T-shirt coton,4 000,"Dakar, Sénégal",https://images.coinafrique.com/5362524_uploaded_image1_1749164390.jpg
Calsson coton,Prix sur demande,"Dakar, Sénégal",https://images.coinafrique.com/5362521_uploaded_image1_1749164209.jpg
T-shirt coton,5 000,"Dakar, Sénégal",https://images.coinafrique.com/5357415_uploaded_image1_1748904812.jpg
Cargo homme,7 000,"Dakar, Sénégal",https://images.coinafrique.com/5357414_uploaded_image1_1748904730.jpg
Ensemble homme,13 000,"Dakar, Sénégal",https://images.coinafrique.com/5357423_uploaded_image1_1748905074.jpg
Lacoste homme,6 500,"Dakar, Sénégal",https://images.coinafrique.com/5357427_uploaded_image1_1748905276.jpg
T-shirt coton,5 000,"Dakar, Sénégal",https://images.coinafrique.com/5357430_uploaded_image1_1748905355.jpg
T-shirt coton,3 500,"Dakar, Sénégal",https://images.coinafrique.com/5357449_uploaded_image1_1748905981.jpg
Ensemble homme,Prix sur demande,"Dakar, Sénégal",https://images.coinafrique.com/5357457_uploaded_image1_1748906197.jpg
Ensemble,Prix sur demande,"Dakar, Sénégal",https://images.coinafrique.com/5357461_uploaded_image1_1748906332.jpg
Lacoste,Prix sur demande,"Dakar, Sénégal",https://images.coinafrique.com/5357459_uploaded_image1_1748906269.jpg
Ensemble homme,Prix sur demande,"Dakar, Sénégal",https://images.coinafrique.com/5357466_uploaded_image1_1748906493.jpg
Ensemble homme,14 000,"Dakar, Sénégal",https://images.coinafrique.com/5357470_uploaded_image1_1748906567.jpg
Ensemble homme,13 000,"Dakar, Sénégal",https://images.coinafrique.com/5351554_uploaded_image1_1748560284.jpg
Ensemble homme,13 000,"Dakar, Sénégal",https://images.coinafrique.com/5351562_uploaded_image1_1748560606.jpg
Costume africain,70 000,"Almadies 2, Dakar, Sénégal",https://images.coinafrique.com/5344887_uploaded_image1_1748196047.jpg
Costume africain,70 000,"Almadies 2, Dakar, Sénégal",https://images.coinafrique.com/5344903_uploaded_image1_1748196689.jpg
Costume africain,70 000,"Almadies 2, Dakar, Sénégal",https://images.coinafrique.com/5344910_uploaded_image1_1748197232.jpg
Costume africain,70 000,"Almadies 2, Dakar, Sénégal",https://images.coinafrique.com/5344920_uploaded_image1_1748197678.jpg
Pantalon Jean,15 000,"Mamelles, Dakar, Sénégal",https://images.coinafrique.com/5369213_uploaded_image1_1749635653.jpg
Pantalon Jean,15 000,"Mamelles, Dakar, Sénégal",https://images.coinafrique.com/5369272_uploaded_image1_1749637388.jpg
Vêtement  homme,8 000,"Parcelle Assainies, Dakar, Sénégal",https://images.coinafrique.com/5369345_uploaded_image1_1749639320.jpg
Ensemble homme 3 piéces,12 000,"Parcelle Assainies, Dakar, Sénégal",https://images.coinafrique.com/5369347_uploaded_image1_1749639509.jpg
Chemise,18 000,"Keur Massar, Sénégal",https://images.coinafrique.com/5333594_uploaded_image1_1747550498.jpg
Souve't ment,1 500,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/5328829_uploaded_image1_1747292067.jpg
Ensemble Lacoste  - Kaki,13 000,"Dakar, Sénégal",https://images.coinafrique.com/5335976_uploaded_image1_1747682377.jpg
Short homme,6 000,"Dakar, Sénégal",https://images.coinafrique.com/5335983_uploaded_image1_1747682531.jpg
Caleçons homme,600,"Parcelle Assainies, Dakar, Sénégal",https://images.coinafrique.com/5379374_uploaded_image1_1750189453.jpg
Dialaba,25 000,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/5340703_uploaded_image1_1747926660.jpg
Chemise El-hadji bouton doré,20 000,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/5388857_uploaded_image1_1750706864.jpg
Abaya languette,10 000,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/5388860_uploaded_image1_1750707013.jpg
Abaya simple,10 000,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/5388869_uploaded_image1_1750707151.jpg
Vêtements pour homme,8 000,"Fann, Dakar, Sénégal",https://images.coinafrique.com/5390008_uploaded_image1_1750777634.jpg
